silo;pivot;intencion;faqja;dytesoret;niveli_zone;deshmia;vellimi;veshtiresia;skor_kanibalizimi;statusi;verdikti_data;agjenti
Peinture;peinture bâti ancien boucle besançon;Komerciale/niche;-;peinture immeuble ancien · peinture pierre besançon;-;PV;PV;e ulët;PV;për arbitrazh;20/08/2026 - kënd i fortë diferencimi, kërkesë e pasigurt;PORTA para çdo krijimi
Plâtrerie/placo;plaquiste besançon;Komerciale/lokale;/plaquiste-besancon;pose placo besançon · artisan plaquiste doubs;A;31 impr poz 6,2 me 0 klikime (me theks) + 124 impr poz 7,4 me 2 klikime (pa theks) (GSC 17/05-16/08/2026);PV;mesatare;PV;i caktuar;21/08/2026 - title i lexuar në KODIN HTML të faqes live (jo SERP): «Plaquiste à Besançon — cloisons, plafonds, devis sous 48 h» - prodhimi i përditësuar veçmas nga dega e 20/08;rushiti-regression-seo (matje)
Plâtrerie/placo;plâtrerie placo besançon;Komerciale/lokale;/platrerie-besancon + platrerie-<zonë> (grilë);reprise plâtre ancien · plafond placo besançon;A-C;faqja pilar 481 impr poz 21,1 + 9 impr IA (GSC 17/05-16/08/2026);PV;mesatare;PV;i caktuar;21/08/2026 - description me prova (20 ans, 34 avis 4,7/5) e lexuar në kodin HTML live - për forcim pozicioni;rushiti-brief-seo
Plâtrerie/placo;pose de cloison besançon;Komerciale/lokale;cloisons-<zonë> (grilë);créer une pièce appartement · cloison placo prix;A-B;faqja pilar 85 impr poz 34,3 (Drive 19/08/2026);PV;e ulët;PV;i caktuar;20/08/2026 - cibël e dallueshme, faqja për forcim;-
Plâtrerie/placo;faux plafond besançon;Komerciale/lokale;faux-plafonds-<zonë> (grilë);plafond suspendu ba13 · faux plafond phonique;A-B;faqja pilar 28 impr poz 48,0 (Drive 19/08/2026);PV;e ulët;PV;i caktuar;20/08/2026 - cibël e dallueshme, faqja thellë e varrosur - forcim;-
Plâtrerie/placo;doublage de mur besançon;Komerciale/teknike;doublage-murs-<zonë> (grilë);doublage placo isolant · contre-cloison;A-B;faqja pilar 24 impr poz 19,2 (Drive 19/08/2026);PV;e ulët;PV;nën vëzhgim;20/08/2026 - afërsi me ITI-në: gjykohet me kryqëzimin kërkesë × faqe;rushiti-cannibal-check
Plâtrerie/placo;prix placo au m² besançon;Transaksionale;-;prix cloison placo · tarif plaquiste;-;PV;PV;mesatare;PV;për krijim;20/08/2026 - artikull blogu (dhjetor 2026) sipas modelit prix peinture;rushiti-brief-seo
Sols;pose revêtement de sol besançon;Komerciale/lokale;revetements-sol-<zonë> (grilë);sol PVC lino besançon · pose parquet stratifié;A-B;faqja pilar 181 impr poz 29,6 (Drive 19/08/2026);PV;mesatare;PV;i caktuar;20/08/2026 - faqja çati e silos - për forcim;-
Sols;parquet flottant stratifié besançon;Komerciale/lokale;parquet-flottant-<zonë> (grilë);pose parquet flottant · stratifié clipsable;A-B;PV;PV;e ulët;PV;i caktuar;20/08/2026 - cibël e dallueshme;-
Sols;sol PVC lino LVT besançon;Komerciale/lokale;sol-pvc-<zonë> DHE lino-vinyle-lvt-<zonë>;lame PVC clipsable · sol vinyle appartement;A-B;PV;PV;e ulët;PV;në konflikt;20/08/2026 - dy faqe, një univers produkti - fusion jashtë nivelit A pas kontrollit GSC;rushiti-cannibal-check
Sols;vitrification parquet besançon;Komerciale/lokale;vitrification-parquet-<zonë> (grilë);ponçage parquet · vitrificateur;A;PV;PV;e ulët;PV;i caktuar;20/08/2026 - cibël e dallueshme, vetëm niveli A;-
Sols;ragréage de sol besançon;Komerciale/teknike;ragreage-sol-<zonë> (grilë);ragréage avant parquet · sol qui n'est pas droit;A;PV;PV;e ulët;PV;i caktuar;20/08/2026 - mbështetet nga artikull blogu;-
Sols;moquette besançon;Komerciale/lokale;-;pose moquette · dépose moquette;-;PV;PV;e ulët;PV;për arbitrazh;20/08/2026 - prestacion i siguruar por i paciblluar - vendim i Isufit;PORTA para çdo krijimi
Dégât des eaux;dégât des eaux besançon;Urgjencë/lokale;degat-des-eaux-<zonë> (grilë);réparation plafond dégât des eaux · assèchement mur après fuite;A-C;faqja pilar 18 impr poz 20,0 (GSC 17/05-16/08/2026);PV;e ulët;PV;i caktuar - PRIORITETI 1 i forcimit;21/08/2026 - siloja më fitimprurëse dhe më e padukshme e sitit - forcim para çdo krijimi tjetër;rushiti-brief-seo + rushiti-maillage-interne
Dégât des eaux;devis dégât des eaux pour l'assurance;Transaksionale/B2B;/devis-assurance-degat-des-eaux-besancon;devis sinistre IRSI · chiffrage dégât des eaux expert;-;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet;-
Dégât des eaux;réparer plafond ou mur après fuite;Informative;/blog/reparer-plafond… + /blog/reparer-mur…;plafond qui goutte · auréole plafond;-;reparer-mur 11 impr IA (Drive 19/08/2026);PV;e ulët;PV;i caktuar;20/08/2026 - ruhen, maillage drejt faqes DDE;-
Dégât des eaux;dégât des eaux qui paie quoi (IRSI);Informative;/blog/degat-des-eaux-assurance-qui-paie-quoi;convention IRSI · assurance dégât des eaux locataire;-;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet;-
Dégât des eaux;assèchement après dégât des eaux besançon;Komerciale/teknike;seksion i faqes degat-des-eaux-besancon;location déshumidificateur · séchage mur;-;PV;PV;e ulët;PV;i caktuar si nën-cibël;20/08/2026 - forcohet faqja ekzistuese, nuk krijohet e re;rushiti-brief-seo
Isolation;isolation intérieure (ITI) besançon;Komerciale/lokale;isolation-interieure-<zonë> (grilë);isolation mur froid · doublage isolant thermique;A-C;PV;PV;mesatare;PV;i caktuar;20/08/2026 addendum - balizat TË DIFERENCUARA në kod burimor (ITI vs çati) - mos u prek - analizë NeuronWriter e 13/08/2026 (relevë API 21/08);-
Isolation;isolation besançon (çati: combles + fonike);Komerciale/lokale;isolation-<zonë> (grilë);isolation combles besançon · isolation phonique appartement;A-B;faqja pilar 184 impr poz 28,3 me 0 klikime (GSC 17/05-16/08/2026);PV;mesatare;PV;nën vëzhgim;20/08/2026 addendum - faqja nuk renditet me apo pa doublon - FORCIM jo prekje title-i - kanibalizimi gjykohet me kryqëzimin kërkesë × faqe;rushiti-cannibal-check + rushiti-brief-seo
Isolation;isolation des combles besançon;Komerciale/lokale;isolation-<zonë> (faqja çati);isolation combles perdus · laine minérale combles;A;PV;PV;mesatare;PV;i caktuar si nën-cibël;20/08/2026 - i atribuohet shprehimisht faqes çati;seo-title-meta
Isolation;ITI ou ITE que choisir;Informative;/blog/isolation-interieure-iti-perte-de-place-epaisseur;iti ou ite · isolation intérieure épaisseur;-;PV;PV;mesatare;PV;i caktuar;20/08/2026 - ruhet;-
Isolation;mur froid condensation que faire;Informative;-;mur froid humide · condensation mur chambre;-;PV;PV;e ulët;PV;për krijim;20/08/2026 - artikull blogu (tetor 2026) - simptomë shumë e kërkuar;rushiti-brief-seo
Rénovation de pièce;rénovation appartement besançon;Komerciale/lokale;/renovation-appartement-besancon;rénovation appartement ancien · rénovation complète prix;A;PV;PV;mesatare;PV;i caktuar;20/08/2026 - ruhet - analizë NeuronWriter e 13/08/2026 (relevë API 21/08) - kryqëzo me eksportin GSC për impresionet e faqes;-
Rénovation de pièce;rénovation salle de bains besançon;Komerciale/lokale;/renovation-salle-de-bain-besancon (për krijim);refaire salle de bain prix · rénovation douche besançon;A;PV;PV;mesatare;PV;për krijim - P1;20/08/2026 - siloja më e afërt me panierin e lartë, më pak e mbuluara - kalon nga PORTA para krijimit;rushiti-page-locale + rushiti-faq
Rénovation de pièce;entreprise de rénovation besançon;Komerciale/lokale;/entreprise-renovation-besancon (për krijim);rénovation maison besançon · société de rénovation doubs;A;PV;PV;e lartë;PV;për krijim - P2;20/08/2026 - kërkesa çati e zanatit, sot pa faqe të dedikuar;rushiti-page-locale + rushiti-faq
Rénovation de pièce;rénovation cuisine besançon;Komerciale/lokale;/renovation-cuisine-besancon (për krijim);refaire cuisine appartement · peinture meuble cuisine;A;PV;PV;mesatare;PV;për krijim - P3;20/08/2026 - plotëson silon, e njëjta klientelë pronare;rushiti-page-locale + rushiti-faq
Rénovation de pièce;aménagement commerce bureau besançon;B2B;/amenagement-commerce-bureau-besancon;rénovation local commercial · travaux bureau;-;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet;-
Rénovation de pièce;syndic de copropriété gestionnaire besançon;B2B;/renovation-syndic-gestionnaire-besancon;peinture cage d'escalier copropriété · rénovation parties communes;-;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet;-
Rénovation de pièce;remise en état logement locatif besançon;B2B;/remise-en-etat-logement-locatif-besancon;rénovation entre deux locataires · peinture logement locatif;-;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet;-
Rénovation de pièce;prix travaux rénovation besançon;Transaksionale;/prix-travaux-renovation-besancon;coût rénovation m² · budget rénovation appartement;-;PV;PV;mesatare;PV;i caktuar;20/08/2026 - maillage nga faqet e shërbimit;rushiti-maillage-interne
Rénovation de pièce;expert d'assurance cabinet de sinistres;B2B;/expert-assurance-sinistre-besancon (për krijim);artisan pour expert d'assurance · chiffrage sinistre bâtiment;-;PV;PV;e ulët;PV;për krijim - P4 (arbitrazh);20/08/2026 - zgjatim logjik i silos DDE drejt klientelës B2B;rushiti-page-locale
Transversale;devis peinture besançon;Transaksionale;/contact;devis gratuit rénovation · demande de devis besançon;-;/contact 177 impr poz 6,6 (Drive 19/08/2026);PV;e ulët;PV;i caktuar;21/08/2026 - CTA-të e faqeve pilar çojnë këtu;-
Transversale;rushiti renovation (marka);Naviguese;/ (accueil);rushiti besançon · rushiti renovation avis;-;kërkesa «rushiti-renovation.fr» 52 impr poz 22,1 me 0 klikime (Drive 19/08/2026);PV;e ulët;PV;ANOMALI 🔴;21/08/2026 - marka duhet poz 1 - e lidhur me trashëgiminë WordPress dhe www/jo-www;rushiti-indexation + rushiti-audit-site
Transversale;moisissure plafond salle de bain;Informative;/blog/moisissure-plafond-salle-de-bain-besancon;moisissure noire plafond · champignon salle de bain;-;1257 impr poz 12,9 + 436 impr poz 9,6 në 3 ankorat (#causes #methode #erreur) + 95 impr IA = 55% e impresioneve IA të sitit (GSC/Drive 19/08/2026);PV;mesatare;PV;i caktuar - për konvertim;21/08/2026 - Vala 3 e analizës: bllok «kur duhet profesionisti» + diagnostikë falas + foto para/pas me leje;rushiti-brief-seo
