date_releve;moteur;bloc;requete;surface;rang_source;url_citee;domaine_cite;famille_source;conditions_session;observation
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;2;https://ghito-renovation.fr/;ghito-renovation.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;3;https://locatelli-wilfrid-renovation.fr/;locatelli-wilfrid-renovation.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;4;https://rdvartisans.fr/;rdvartisans.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;5;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;6;https://greta-besancon.com/;greta-besancon.com;institutionnel;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;7;https://pro-plaquiste.com/;pro-plaquiste.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise platrerie placo Doubs;0;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);travaux.obat.fr publie deux listicles Top 20 Doubs, RUSHITI absent des deux
2026-08-23;recherche web (releve agent);panel;entreprise platrerie placo Doubs;0;2;https://travaux.obat.fr/;travaux.obat.fr;comparatif tiers;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise platrerie placo Doubs;0;3;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise platrerie placo Doubs;0;4;https://ppsi-25.com/;ppsi-25.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;1;https://groupama.fr/;groupama.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Aucune source locale dans le corpus malgre l'intention locale de la requete
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;2;https://habitatpresto.com/;habitatpresto.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;3;https://mesdepanneurs.fr/;mesdepanneurs.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;4;https://lamaisondestravaux.com/;lamaisondestravaux.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;5;https://allianz.fr/;allianz.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;6;https://watio.fr/;watio.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;degat des eaux plafond qui refaire Besancon;0;7;https://lemagdelimmobilier.com/;lemagdelimmobilier.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Seule citation RUSHITI du panel, et elle pointe rushiti.fr, pas le site audite
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;2;https://expertise-sinistre.fr/;expertise-sinistre.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;3;https://rushiti.fr/;rushiti.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;4;https://monsieurpeinture.com/;monsieurpeinture.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;5;https://batisco.ca/;batisco.ca;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise renovation apres degat des eaux Besancon;S;6;https://commentcamarche.com/;commentcamarche.com;forum;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation appartement Besancon;0;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation appartement Besancon;0;2;https://avenir-renovations.fr/;avenir-renovations.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation appartement Besancon;0;3;https://renovation-extension-besancon.fr/;renovation-extension-besancon.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation appartement Besancon;0;4;https://illico-travaux.com/;illico-travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation appartement Besancon;0;5;https://renovation-appartement-besancon.net.fr/;renovation-appartement-besancon.net.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;1;https://bf-plomberie-besancon.fr/;bf-plomberie-besancon.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;2;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;3;https://renovation-extension-besancon.fr/;renovation-extension-besancon.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;4;https://illico-travaux.com/;illico-travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;5;https://dclhabitat.com/;dclhabitat.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;6;https://lesmaitresdubain.com/;lesmaitresdubain.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;7;https://plomberie-afp.com/;plomberie-afp.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;8;https://jacquemardfrancksarl.com/;jacquemardfrancksarl.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;renovation salle de bains Besancon;0;9;https://sdb-renov.com/;sdb-renov.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;2;https://allovoisins.com/;allovoisins.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;3;https://needhelp.com/;needhelp.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;4;https://arcenciel-renov.fr/;arcenciel-renov.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;5;https://ac2lparquets.fr/;ac2lparquets.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;6;https://arcensol-fils.fr/;arcensol-fils.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;7;https://rdvartisans.fr/;rdvartisans.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;8;https://ac2l-parquets.com/;ac2l-parquets.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;pose parquet flottant Besancon;0;9;https://revetec-25.com/;revetec-25.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Corpus domine par les plateformes CEE et RGE, qualification non detenue a ce jour
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;2;https://devis-isolation-des-combles.fr/;devis-isolation-des-combles.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;3;https://prime-isolation.fr/;prime-isolation.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;4;https://1euro-isolation.fr/;1euro-isolation.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;5;https://socorebat-25.fr/;socorebat-25.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;isolation combles Doubs;0;6;https://solution-isolation.com/;solution-isolation.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;1;https://meilleur-artisan.com/;meilleur-artisan.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);meilleur-artisan.com porte deja une fiche RUSHITI selon le plan direktori, non citee ici
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;2;https://artmajeur.com/;artmajeur.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;3;https://starofservice.com/;starofservice.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;4;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;5;https://rdvartisans.fr/;rdvartisans.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;6;https://facebook.com/;facebook.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Pontarlier;0;7;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;artisan renovation Ecole-Valentin;0;1;https://allovoisins.com/;allovoisins.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;artisan renovation Ecole-Valentin;0;2;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;artisan renovation Ecole-Valentin;0;3;https://renovert.fr/;renovert.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;1;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Silo B2B strategique, RUSHITI absent de toutes les sources
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;2;https://plus-que-pro.fr/;plus-que-pro.fr;comparatif tiers;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;3;https://mairie.com/;mairie.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;4;https://123pages.fr/;123pages.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;5;https://sari-peinture.fr/;sari-peinture.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;6;https://servicestart.com/;servicestart.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;entreprise peinture pour syndic copropriete Besancon;0;7;https://hillaire-peinture.fr/;hillaire-peinture.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;1;https://manda.fr/;manda.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Aucune source locale, corpus 100% national
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;2;https://smartloc.fr/;smartloc.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;3;https://matmut.fr/;matmut.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;4;https://groupama.fr/;groupama.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;5;https://particuliers.sg.fr/;particuliers.sg.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;6;https://jechange.fr/;jechange.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;7;https://macsf.fr/;macsf.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;8;https://allianz.fr/;allianz.fr;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;qui appeler apres degat des eaux locataire Besancon;0;9;https://depanist.com/;depanist.com;editeur national;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;Rushiti Renovation Besancon, qu'est-ce que c'est ?;S;1;https://rushiti-renovation.fr/;rushiti-renovation.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Les moteurs repetent 'depuis plus de 20 ans' comme age de l'entreprise (SARL creee le 04/11/2021)
2026-08-23;recherche web (releve agent);marque;Rushiti Renovation Besancon, qu'est-ce que c'est ?;S;2;https://facebook.com/;facebook.com;fiche d'etablissement;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;Rushiti Renovation Besancon, qu'est-ce que c'est ?;S;3;https://rushiti.fr/;rushiti.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;Rushiti Renovation Besancon, qu'est-ce que c'est ?;S;4;https://fr.linkedin.com/;fr.linkedin.com;fiche d'etablissement;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;Rushiti Renovation Besancon, qu'est-ce que c'est ?;S;5;https://rushiti-renovation-peintre.localo.site/;rushiti-renovation-peintre.localo.site;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;1;https://rushiti-renovation.fr/;rushiti-renovation.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);URL indexees hors offre validee: /desamiantage-sol-besancon/, /demolition-commerce-besancon/, /organic-ehpad-besancon/
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;2;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;3;https://rushiti.fr/;rushiti.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;4;https://devis.contactartisan.com/;devis.contactartisan.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;5;https://rushiti-renovation-peintre.localo.site/;rushiti-renovation-peintre.localo.site;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;avis sur Rushiti Renovation a Besancon;S;6;https://artisan-malin.com/;artisan-malin.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;qui sont les gerants de Rushiti Renovation ?;S;1;https://fr.linkedin.com/;fr.linkedin.com;fiche d'etablissement;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Isuf et Yll Rushiti correctement identifies
2026-08-23;recherche web (releve agent);marque;qui sont les gerants de Rushiti Renovation ?;S;2;https://rushiti-renovation.fr/;rushiti-renovation.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;qui sont les gerants de Rushiti Renovation ?;S;3;https://rushiti.fr/;rushiti.fr;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;qui sont les gerants de Rushiti Renovation ?;S;4;https://rushiti-renovation-peintre.localo.site/;rushiti-renovation-peintre.localo.site;domaine RUSHITI;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);marque;qui sont les gerants de Rushiti Renovation ?;S;5;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;ChatGPT;panel+marque;(17 requetes, non interrogees);NM;;;;;non mesure;Plateforme non interrogeable depuis cet environnement: collecte manuelle requise (protocole fourni)
2026-08-23;Perplexity;panel+marque;(17 requetes, non interrogees);NM;;;;;non mesure;Plateforme non interrogeable depuis cet environnement: collecte manuelle requise (protocole fourni)
2026-08-23;Microsoft Copilot;panel+marque;(17 requetes, non interrogees);NM;;;;;non mesure;Plateforme non interrogeable depuis cet environnement: collecte manuelle requise (protocole fourni)
2026-08-23;Google AI Mode / apercus IA;panel+marque;(17 requetes, non interrogees);NM;;;;;non mesure;Plateforme non interrogeable depuis cet environnement: collecte manuelle requise (protocole fourni)
2026-08-23;Gemini;panel+marque;(17 requetes, non interrogees);NM;;;;;non mesure;Plateforme non interrogeable depuis cet environnement: collecte manuelle requise (protocole fourni)
